"name","name_root","hypernym"
"ab","ab","['ab']"
"abacı","abac","['abac']"
"abacı","abac","['kıt']"
"abacı","abac","['abac']"
"abacı","abac","['abac']"
"abacılık","abacı","['abacı']"
"abacılık","abacı","['abacı']"
"abadi","abadi","['harf', 'yazı']"
"abajur","abajur","['lamba', 'fener']"
"abajur","abajur","['lamba', 'amp']"
"abajurcu","abajurcu","['müslüman']"
"abajurculuk","abajurculuk","['meslek', 'hobi', 'işyeri']"
"abaküs","abaküs","['pi', 'yüzde']"
"abaküs","abaküs","['yapı', 'heykel', 'kule', 'kütle']"
"abandırma","abandır","['abandır']"
"abanık","abanık","['ses', 'sesle']"
"abani","abani","['kumaş', 'elbise', 'giysi']"
"abani","abani","['elbise', 'kumaş']"
"abanma","aban","['aban']"
"abanoz","abanoz","['ağaç', 'tahta', 'ağacın', 'kale']"
"abanozgiller","abanozgiller","['fam', 'ağaç']"
"abanozlaşma","abanozlaşma","['abanozlaşma']"
"abartı","abartı","['durum']"
"abartıcı","abartıcı","['abartıcı']"
"abartıcılık","abartıcı","['mec']"
"abartılma","abart","['met']"
"abartısızlık","abartısız","['değer', 'özellik']"
"abartış","abartış","['abartış']"
"abartma","abartma","['abartma']"
"abartmacı","abartma","['müslüman']"
"abartmacılık","abartmacı","['ille']"
"abaşo","abaşo","['abaşo']"
"abaşo","abaşo","['gemi', 'tekne']"
"Abaza","abaza","['halk', 'türk', 'türkmen', 'çerkes', 'müslüman']"
"Abaza","abaza","['kabil', 'müslüman', 'türk', 'alevi']"
"Abazaca","abazaca","['dil', 'türkçe', 'kelime', 'lis', 'türkçe']"
"Abazaca","abazaca","['dil', 'kelime', 'lis', 'dille', 'metin']"
"abazanlık","abazanlık","['abazanlık']"
"Abaza peyniri","abaza peynir","['peynir', 'keçi', 'ekmek']"
"aba güreşi","aba güreş","['spor', 'güreş', 'nevi']"
"aba (II)","aba ( ii )","['giy', 'elbise']"
"aba (II)","aba ( ii )","['giy', 'elbise', 'giysi']"
"aba (II)","aba ( ii )","['elbise', 'giysi', 'giy']"
"aba (II)","aba ( ii )","['elbise']"
"aba (I)","aba ( i )","['aba i']"
"aba (I)","aba ( i )","['anne']"
"Abbas","abbas","['yolcu', 'müslüman']"
"abd","abd","['abd', 'köle']"
"abd","abd","['abd', 'rab', 'rab', 'kul', 'ham']"
"abdal","abdal","['abd', 'şah', 'kah']"
"abdal","abdal","['abd']"
"abdallık","abdal","['abdal']"
"Abdal (II)","abdal ( ii )","['sey', 'alevi', 'evli']"
"Abdal (II)","abdal ( ii )","['türk', 'alevi', 'türkmen']"
"abdest","abdest","['abdest', 'temiz', 'temizlik', 'su']"
"abdest","abdest","['abdest', 'su', 'idrar']"
"abdestbozan","abdestbozan","['şeri', 'neh', 'şe']"
"abdestbozan otu","abdestbozan ot","['bitki', 'şifa', 'ağaç', 'mucize']"
"abdesthane","abdesthane","['mes', 'tuvalet', 'abdest']"
"abdestlik","abdestlik","['mes', 'mahal']"
"abdestlik","abdestlik","['elbise', 'abdest']"
"abdestlik","abdestlik","['giy', 'elbise', 'giysi', 'kıyafet']"
"abdestlilik","abdestli","['ibadet', 'farz', 'abdest']"
"abdestsizlik","abdestsizlik","['af']"
"abdiâciz","abdiâciz","['mümin', 'müslüman']"
"abdülleziz","abdülleziz","['bitki', 'abd', 'hayvan', 'müslüman']"
"abdülleziz","abdülleziz","['bitki', 'meyve', 'şifa', 'mucize']"
"abece","abece","['dil', 'harf', 'kelime', 'alfab']"
"abece sırası","abece sıra","['harf', 'cm']"
"aberasyon","aberasyon","['süreç']"
"abeslik","abeslik","['durum']"
"abıhayat","abıhayat","['su', 'şe', 'çeş']"
"abıkevser","abıkevser","['şe', 'su', 'ır']"
"abide","abide","['cami', 'sit', 'heykel', 'anıt']"
"abideleşme","abideleş","['ilk', 'sit', 'süreç']"
"abideleştirme","abideleştir","['görev', 'tali']"
"abis","abis","['deniz']"
"abiye","abiye","['elbise', 'kıyafet', 'giysi', 'giyim', 'aksesuar']"
